Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Bundesliga,05/11/2022,17:30,Werder Bremen,Schalke 04,2,1,H,1.57,4.49,5.48
2022/2023,Bundesliga,06/11/2022,14:30,Leverkusen,Union Berlin,5,0,H,2.32,3.19,3.35
2022/2023,Bundesliga,06/11/2022,16:30,Freiburg,FC Koln,2,0,H,1.65,4.07,5.2
2022/2023,Bundesliga,08/11/2022,17:30,Wolfsburg,Dortmund,2,0,H,2.99,3.63,2.31
2022/2023,Bundesliga,08/11/2022,19:30,Bayern Munich,Werder Bremen,6,1,H,1.17,8.55,14.53
2022/2023,Bundesliga,08/11/2022,19:30,Bochum,M'gladbach,2,1,H,2.75,3.53,2.54
2022/2023,Bundesliga,08/11/2022,19:30,Stuttgart,Hertha,2,1,H,2.08,3.63,3.49
2022/2023,Bundesliga,09/11/2022,17:30,FC Koln,Leverkusen,1,2,A,3.08,3.61,2.27
2022/2023,Bundesliga,09/11/2022,19:30,Ein Frankfurt,Hoffenheim,4,2,H,1.66,4.27,4.88
2022/2023,Bundesliga,09/11/2022,19:30,RB Leipzig,Freiburg,3,1,H,1.78,3.8,4.62
2022/2023,Bundesliga,09/11/2022,19:30,Schalke 04,Mainz,1,0,H,3.49,3.64,2.08
2022/2023,Bundesliga,09/11/2022,19:30,Union Berlin,Augsburg,2,2,D,1.75,3.66,5.08
2022/2023,Bundesliga,11/11/2022,19:30,M'gladbach,Dortmund,4,2,H,3.33,3.95,2.06
2022/2023,Bundesliga,12/11/2022,14:30,Augsburg,Bochum,0,1,A,2.47,3.37,2.91
2022/2023,Bundesliga,12/11/2022,14:30,Hertha,FC Koln,2,0,H,2.51,3.44,2.83
2022/2023,Bundesliga,12/11/2022,14:30,Hoffenheim,Wolfsburg,1,2,A,2.13,3.63,3.37
2022/2023,Bundesliga,12/11/2022,14:30,Leverkusen,Stuttgart,2,0,H,1.8,3.87,4.35
2022/2023,Bundesliga,12/11/2022,14:30,Werder Bremen,RB Leipzig,1,2,A,3.71,3.9,1.94
2022/2023,Bundesliga,12/11/2022,17:30,Schalke 04,Bayern Munich,0,2,A,12,7,1.22
2022/2023,Bundesliga,13/11/2022,14:30,Mainz,Ein Frankfurt,1,1,D,2.7,3.5,2.55
2022/2023,Bundesliga,13/11/2022,16:30,Freiburg,Union Berlin,4,1,H,2.09,3.1,4.13
2022/2023,Bundesliga,20/01/2023,19:30,RB Leipzig,Bayern Munich,1,1,D,3.68,4.15,1.89
2022/2023,Bundesliga,21/01/2023,14:30,Bochum,Hertha,3,1,H,2.34,3.44,3.07
2022/2023,Bundesliga,21/01/2023,14:30,Ein Frankfurt,Schalke 04,3,0,H,1.35,5.39,8.64
2022/2023,Bundesliga,21/01/2023,14:30,Stuttgart,Mainz,1,1,D,2.31,3.46,3.11
2022/2023,Bundesliga,21/01/2023,14:30,Union Berlin,Hoffenheim,3,1,H,2.25,3.24,3.45
2022/2023,Bundesliga,21/01/2023,14:30,Wolfsburg,Freiburg,6,0,H,2.28,3.37,3.25
2022/2023,Bundesliga,21/01/2023,17:30,FC Koln,Werder Bremen,7,1,H,2.02,3.71,3.59
2022/2023,Bundesliga,22/01/2023,14:30,Dortmund,Augsburg,4,3,H,1.28,6.18,10.02
2022/2023,Bundesliga,22/01/2023,16:30,M'gladbach,Leverkusen,2,3,A,2.79,3.7,2.42
2022/2023,Bundesliga,24/01/2023,17:30,Schalke 04,RB Leipzig,1,6,A,6.07,4.34,1.54
2022/2023,Bundesliga,24/01/2023,19:30,Bayern Munich,FC Koln,1,1,D,1.21,7.65,11.61
2022/2023,Bundesliga,24/01/2023,19:30,Hertha,Wolfsburg,0,5,A,2.97,3.42,2.42
2022/2023,Bundesliga,24/01/2023,19:30,Hoffenheim,Stuttgart,2,2,D,2.12,3.65,3.35
2022/2023,Bundesliga,25/01/2023,17:30,Mainz,Dortmund,1,2,A,3.15,3.74,2.18
2022/2023,Bundesliga,25/01/2023,19:30,Augsburg,M'gladbach,1,0,H,3.16,3.66,2.19
2022/2023,Bundesliga,25/01/2023,19:30,Freiburg,Ein Frankfurt,1,1,D,2.35,3.44,3.08
2022/2023,Bundesliga,25/01/2023,19:30,Leverkusen,Bochum,2,0,H,1.46,4.76,6.62
2022/2023,Bundesliga,25/01/2023,19:30,Werder Bremen,Union Berlin,1,2,A,2.94,3.16,2.58
2022/2023,Bundesliga,27/01/2023,19:30,RB Leipzig,Stuttgart,2,1,H,1.33,5.33,9.81
2022/2023,Bundesliga,28/01/2023,14:30,Freiburg,Augsburg,3,1,H,1.65,4.03,5.24
2022/2023,Bundesliga,28/01/2023,14:30,Hertha,Union Berlin,0,2,A,3.75,3.18,2.17
2022/2023,Bundesliga,28/01/2023,14:30,Hoffenheim,M'gladbach,1,4,A,2.03,3.81,3.48
2022/2023,Bundesliga,28/01/2023,14:30,Mainz,Bochum,5,2,H,1.81,3.76,4.41
2022/2023,Bundesliga,28/01/2023,14:30,Werder Bremen,Wolfsburg,2,1,H,3.49,3.73,2.05
2022/2023,Bundesliga,28/01/2023,17:30,Bayern Munich,Ein Frankfurt,1,1,D,1.36,5.72,7.67
2022/2023,Bundesliga,29/01/2023,14:30,Schalke 04,FC Koln,0,0,D,3.74,3.74,1.97
2022/2023,Bundesliga,29/01/2023,16:30,Leverkusen,Dortmund,0,2,A,2.49,3.75,2.69
2022/2023,Bundesliga,03/02/2023,19:30,Augsburg,Leverkusen,1,0,H,3.85,3.79,1.92
2022/2023,Bundesliga,04/02/2023,14:30,Bochum,Hoffenheim,5,2,H,2.78,3.41,2.56
2022/2023,Bundesliga,04/02/2023,14:30,Dortmund,Freiburg,5,1,H,1.68,4.16,4.82
2022/2023,Bundesliga,04/02/2023,14:30,Ein Frankfurt,Hertha,3,0,H,1.52,4.42,6.35
2022/2023,Bundesliga,04/02/2023,14:30,FC Koln,RB Leipzig,0,0,D,3.74,3.62,2.01
2022/2023,Bundesliga,04/02/2023,14:30,Union Berlin,Mainz,2,1,H,1.93,3.38,4.4
2022/2023,Bundesliga,04/02/2023,17:30,M'gladbach,Schalke 04,0,0,D,1.6,4.43,5.16
2022/2023,Bundesliga,05/02/2023,14:30,Stuttgart,Werder Bremen,0,2,A,1.83,3.77,4.31
2022/2023,Bundesliga,05/02/2023,16:30,Wolfsburg,Bayern Munich,2,4,A,5.5,4.57,1.56
2022/2023,Bundesliga,10/02/2023,19:30,Schalke 04,Wolfsburg,0,0,D,3.72,3.68,2
2022/2023,Bundesliga,11/02/2023,14:30,Bayern Munich,Bochum,3,0,H,1.13,9.76,18.29
2022/2023,Bundesliga,11/02/2023,14:30,Freiburg,Stuttgart,2,1,H,2.06,3.45,3.69
2022/2023,Bundesliga,11/02/2023,14:30,Hoffenheim,Leverkusen,1,3,A,2.65,3.59,2.58
2022/2023,Bundesliga,11/02/2023,14:30,Mainz,Augsburg,3,1,H,1.82,3.89,4.25
2022/2023,Bundesliga,11/02/2023,14:30,Werder Bremen,Dortmund,0,2,A,4.41,4.37,1.71
2022/2023,Bundesliga,11/02/2023,17:30,RB Leipzig,Union Berlin,1,2,A,1.83,3.49,4.8
2022/2023,Bundesliga,12/02/2023,14:30,Hertha,M'gladbach,4,1,H,2.82,3.48,2.48
2022/2023,Bundesliga,12/02/2023,16:30,FC Koln,Ein Frankfurt,3,0,H,2.8,3.45,2.53
2022/2023,Bundesliga,17/02/2023,19:30,Augsburg,Hoffenheim,1,0,H,2.63,3.6,2.6
2022/2023,Bundesliga,18/02/2023,14:30,Bochum,Freiburg,0,2,A,2.84,3.4,2.52
2022/2023,Bundesliga,18/02/2023,14:30,M'gladbach,Bayern Munich,3,2,H,6.94,5.25,1.42
2022/2023,Bundesliga,18/02/2023,14:30,Stuttgart,FC Koln,3,0,H,2.3,3.4,3.21
2022/2023,Bundesliga,18/02/2023,14:30,Wolfsburg,RB Leipzig,0,3,A,3.04,3.64,2.28
2022/2023,Bundesliga,18/02/2023,17:30,Ein Frankfurt,Werder Bremen,2,0,H,1.56,4.49,5.58
2022/2023,Bundesliga,19/02/2023,14:30,Union Berlin,Schalke 04,0,0,D,1.67,3.63,5.96
2022/2023,Bundesliga,19/02/2023,16:30,Dortmund,Hertha,4,1,H,1.43,4.95,7.07
2022/2023,Bundesliga,19/02/2023,18:30,Leverkusen,Mainz,2,3,A,1.95,3.68,3.92
2022/2023,Bundesliga,24/02/2023,19:30,Mainz,M'gladbach,4,0,H,2.19,3.67,3.21
2022/2023,Bundesliga,25/02/2023,14:30,FC Koln,Wolfsburg,0,2,A,2.36,3.42,3.06
2022/2023,Bundesliga,25/02/2023,14:30,Hertha,Augsburg,2,0,H,2.11,3.51,3.46
2022/2023,Bundesliga,25/02/2023,14:30,Hoffenheim,Dortmund,0,1,A,4.46,4.35,1.68
2022/2023,Bundesliga,25/02/2023,14:30,RB Leipzig,Ein Frankfurt,2,1,H,1.65,4.09,5.26
2022/2023,Bundesliga,25/02/2023,14:30,Werder Bremen,Bochum,3,0,H,1.91,3.75,3.89
2022/2023,Bundesliga,25/02/2023,17:30,Schalke 04,Stuttgart,2,1,H,3.18,3.35,2.33
2022/2023,Bundesliga,26/02/2023,14:30,Freiburg,Leverkusen,1,1,D,2.37,3.51,2.98
2022/2023,Bundesliga,26/02/2023,16:30,Bayern Munich,Union Berlin,3,0,H,1.44,4.55,7.64
2022/2023,Bundesliga,03/03/2023,19:30,Dortmund,RB Leipzig,2,1,H,2.29,3.64,3.01
2022/2023,Bundesliga,04/03/2023,14:30,Augsburg,Werder Bremen,2,1,H,2.24,3.61,3.13
2022/2023,Bundesliga,04/03/2023,14:30,Bochum,Schalke 04,0,2,A,2.6,3.28,2.81
2022/2023,Bundesliga,04/03/2023,14:30,Mainz,Hoffenheim,1,0,H,1.93,3.71,3.92
2022/2023,Bundesliga,04/03/2023,14:30,M'gladbach,Freiburg,0,0,D,2.33,3.55,3.03
2022/2023,Bundesliga,04/03/2023,14:30,Union Berlin,FC Koln,0,0,D,2.01,3.27,4.22
2022/2023,Bundesliga,04/03/2023,17:30,Stuttgart,Bayern Munich,1,2,A,6.75,4.82,1.46
2022/2023,Bundesliga,05/03/2023,14:30,Leverkusen,Hertha,4,1,H,1.5,4.39,6.58
2022/2023,Bundesliga,05/03/2023,16:30,Wolfsburg,Ein Frankfurt,2,2,D,2.42,3.49,2.9
2022/2023,Bundesliga,10/03/2023,19:30,FC Koln,Bochum,0,2,A,1.72,3.72,5.03
2022/2023,Bundesliga,11/03/2023,14:30,Bayern Munich,Augsburg,5,3,H,1.1,11.2,23.39
2022/2023,Bundesliga,11/03/2023,14:30,Ein Frankfurt,Stuttgart,1,1,D,2.1,3.41,3.61
2022/2023,Bundesliga,11/03/2023,14:30,Hertha,Mainz,1,1,D,3.1,3.36,2.35
2022/2023,Bundesliga,11/03/2023,14:30,RB Leipzig,M'gladbach,3,0,H,1.38,5.3,7.51
2022/2023,Bundesliga,11/03/2023,17:30,Schalke 04,Dortmund,2,2,D,4.26,3.76,1.83
2022/2023,Bundesliga,12/03/2023,14:30,Freiburg,Hoffenheim,2,1,H,1.85,3.7,4.26
2022/2023,Bundesliga,12/03/2023,16:30,Werder Bremen,Leverkusen,2,3,A,3.53,3.59,2.07
2022/2023,Bundesliga,12/03/2023,18:30,Wolfsburg,Union Berlin,1,1,D,2.7,3.04,2.89
2022/2023,Bundesliga,17/03/2023,19:30,M'gladbach,Werder Bremen,2,2,D,1.88,4,3.8
2022/2023,Bundesliga,18/03/2023,14:30,Augsburg,Schalke 04,1,1,D,2.41,3.38,2.99
2022/2023,Bundesliga,18/03/2023,14:30,Bochum,RB Leipzig,1,0,H,5.91,4.31,1.55
2022/2023,Bundesliga,18/03/2023,14:30,Hoffenheim,Hertha,3,1,H,1.94,3.68,3.88
