Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Primeira Liga,06/11/2022,18:00,Sp Braga,Casa Pia,0,1,A,1.4,4.77,7.45
2022/2023,Primeira Liga,06/11/2022,20:30,Estoril,Benfica,1,5,A,11.1,6.09,1.24
2022/2023,Primeira Liga,07/11/2022,20:15,Chaves,Santa Clara,0,0,D,2.39,3.04,3.21
2022/2023,Primeira Liga,12/11/2022,18:00,Arouca,Rio Ave,0,1,A,2.31,3.14,3.28
2022/2023,Primeira Liga,12/11/2022,20:30,Boavista,Porto,1,4,A,12.28,5.65,1.25
2022/2023,Primeira Liga,13/11/2022,15:30,Guimaraes,Maritimo,1,0,H,2.01,3.29,3.91
2022/2023,Primeira Liga,13/11/2022,15:30,Pacos Ferreira,Vizela,0,2,A,3.83,3.28,2.03
2022/2023,Primeira Liga,13/11/2022,18:00,Benfica,Gil Vicente,3,1,H,1.09,10.63,21.63
2022/2023,Primeira Liga,13/11/2022,18:00,Casa Pia,Chaves,1,2,A,2.14,3.3,3.48
2022/2023,Primeira Liga,13/11/2022,18:00,Portimonense,Sp Braga,1,2,A,3.49,3.5,2.06
2022/2023,Primeira Liga,13/11/2022,20:30,Famalicao,Sp Lisbon,1,2,A,6.14,3.83,1.58
2022/2023,Primeira Liga,14/11/2022,20:15,Santa Clara,Estoril,3,1,H,2.25,3.14,3.38
2022/2023,Primeira Liga,23/12/2022,20:15,Rio Ave,Maritimo,1,1,D,2.07,3.25,3.78
2022/2023,Primeira Liga,28/12/2022,19:00,Portimonense,Casa Pia,1,2,A,2.3,3.11,3.31
2022/2023,Primeira Liga,28/12/2022,21:15,Porto,Arouca,5,1,H,1.15,7.73,16.87
2022/2023,Primeira Liga,29/12/2022,17:00,Gil Vicente,Santa Clara,1,0,H,2.08,3.4,3.55
2022/2023,Primeira Liga,29/12/2022,21:15,Sp Lisbon,Pacos Ferreira,3,0,H,1.15,7.9,16.71
2022/2023,Primeira Liga,30/12/2022,17:00,Chaves,Famalicao,0,2,A,2.59,3.05,2.92
2022/2023,Primeira Liga,30/12/2022,19:00,Vizela,Guimaraes,3,0,H,2.4,3.13,3.13
2022/2023,Primeira Liga,30/12/2022,21:15,Sp Braga,Benfica,3,0,H,4.78,4.01,1.68
2022/2023,Primeira Liga,05/01/2023,20:15,Santa Clara,Sp Braga,0,4,A,6.23,3.84,1.57
2022/2023,Primeira Liga,06/01/2023,19:00,Benfica,Portimonense,1,0,H,1.16,7.49,16.18
2022/2023,Primeira Liga,06/01/2023,21:15,Famalicao,Vizela,2,1,H,2.6,3.07,2.89
2022/2023,Primeira Liga,07/01/2023,15:30,Arouca,Estoril,2,0,H,2.31,3.22,3.2
2022/2023,Primeira Liga,07/01/2023,18:00,Guimaraes,Rio Ave,0,0,D,2.06,3.16,3.94
2022/2023,Primeira Liga,07/01/2023,20:30,Casa Pia,Porto,0,0,D,8.49,4.72,1.38
2022/2023,Primeira Liga,08/01/2023,15:30,Pacos Ferreira,Chaves,1,1,D,2.69,3.23,2.66
2022/2023,Primeira Liga,08/01/2023,18:00,Maritimo,Sp Lisbon,1,0,H,8.85,4.88,1.36
2022/2023,Primeira Liga,08/01/2023,20:30,Boavista,Gil Vicente,1,0,H,2.44,3.25,2.95
2022/2023,Primeira Liga,13/01/2023,20:15,Portimonense,Santa Clara,0,0,D,2.14,3.19,3.57
2022/2023,Primeira Liga,14/01/2023,15:30,Vizela,Maritimo,3,0,H,1.86,3.5,4.33
2022/2023,Primeira Liga,14/01/2023,18:00,Rio Ave,Pacos Ferreira,0,1,A,2.14,3.15,3.65
2022/2023,Primeira Liga,14/01/2023,20:30,Sp Braga,Boavista,1,0,H,1.31,5.42,9.47
2022/2023,Primeira Liga,15/01/2023,15:30,Chaves,Arouca,1,1,D,2.41,3.19,3.04
2022/2023,Primeira Liga,15/01/2023,18:00,Benfica,Sp Lisbon,2,2,D,1.85,3.61,4.18
2022/2023,Primeira Liga,15/01/2023,20:30,Porto,Famalicao,4,1,H,1.19,6.61,15.2
2022/2023,Primeira Liga,16/01/2023,19:00,Estoril,Casa Pia,2,0,H,3.01,2.99,2.52
2022/2023,Primeira Liga,16/01/2023,21:15,Gil Vicente,Guimaraes,2,1,H,2.47,3.09,3.04
2022/2023,Primeira Liga,20/01/2023,19:00,Arouca,Portimonense,4,0,H,2.21,3.25,3.31
2022/2023,Primeira Liga,20/01/2023,21:15,Sp Lisbon,Vizela,2,1,H,1.29,5.64,9.87
2022/2023,Primeira Liga,21/01/2023,15:30,Pacos Ferreira,Sp Braga,1,2,A,7.54,4.64,1.41
2022/2023,Primeira Liga,21/01/2023,18:00,Santa Clara,Benfica,0,3,A,12,5.76,1.25
2022/2023,Primeira Liga,21/01/2023,20:30,Guimaraes,Porto,0,1,A,10.05,5.24,1.31
2022/2023,Primeira Liga,22/01/2023,15:30,Maritimo,Estoril,1,0,H,2.61,3.02,2.91
2022/2023,Primeira Liga,22/01/2023,18:00,Casa Pia,Gil Vicente,1,3,A,2.28,3.22,3.27
2022/2023,Primeira Liga,22/01/2023,20:30,Famalicao,Rio Ave,0,0,D,2.12,3.11,3.78
2022/2023,Primeira Liga,23/01/2023,20:15,Boavista,Chaves,1,1,D,2.04,3.22,3.92
2022/2023,Primeira Liga,26/01/2023,20:15,Pacos Ferreira,Benfica,0,2,A,17.47,7.05,1.17
2022/2023,Primeira Liga,29/01/2023,15:30,Casa Pia,Santa Clara,2,1,H,1.98,3.08,4.41
2022/2023,Primeira Liga,29/01/2023,15:30,Vizela,Rio Ave,3,1,H,1.99,3.3,3.94
2022/2023,Primeira Liga,29/01/2023,18:00,Boavista,Portimonense,4,2,H,1.99,3.25,4.09
2022/2023,Primeira Liga,29/01/2023,20:30,Famalicao,Estoril,1,0,H,2.01,3.21,4.04
2022/2023,Primeira Liga,30/01/2023,20:15,Guimaraes,Chaves,2,1,H,1.94,3.31,4.17
2022/2023,Primeira Liga,31/01/2023,19:00,Pacos Ferreira,Gil Vicente,2,1,H,3.01,3.22,2.41
2022/2023,Primeira Liga,31/01/2023,21:15,Arouca,Benfica,0,3,A,9.39,5.12,1.32
2022/2023,Primeira Liga,01/02/2023,19:00,Maritimo,Porto,0,2,A,11.94,5.57,1.26
2022/2023,Primeira Liga,01/02/2023,21:15,Sp Lisbon,Sp Braga,5,0,H,1.88,3.61,4.06
2022/2023,Primeira Liga,04/02/2023,15:30,Santa Clara,Boavista,2,2,D,2.82,2.95,2.77
2022/2023,Primeira Liga,04/02/2023,18:00,Benfica,Casa Pia,3,0,H,1.23,6.07,13.34
2022/2023,Primeira Liga,04/02/2023,20:30,Estoril,Guimaraes,0,1,A,2.67,3.04,2.83
2022/2023,Primeira Liga,05/02/2023,15:30,Chaves,Maritimo,2,1,H,2.22,3.15,3.47
2022/2023,Primeira Liga,05/02/2023,15:30,Sp Braga,Famalicao,4,1,H,1.53,4.03,6.4
2022/2023,Primeira Liga,05/02/2023,18:00,Porto,Vizela,2,0,H,1.24,6.11,12.44
2022/2023,Primeira Liga,05/02/2023,20:30,Gil Vicente,Arouca,1,1,D,2.19,3.32,3.37
2022/2023,Primeira Liga,06/02/2023,19:00,Portimonense,Pacos Ferreira,1,0,H,2.31,3.11,3.32
2022/2023,Primeira Liga,06/02/2023,21:15,Rio Ave,Sp Lisbon,0,1,A,9.39,4.66,1.35
2022/2023,Primeira Liga,09/02/2023,18:00,Estoril,Boavista,2,1,H,2.8,3,2.73
2022/2023,Primeira Liga,10/02/2023,20:15,Vizela,Chaves,0,0,D,1.72,3.71,4.95
2022/2023,Primeira Liga,11/02/2023,18:00,Arouca,Santa Clara,1,0,H,2.07,3.16,3.92
2022/2023,Primeira Liga,11/02/2023,20:30,Guimaraes,Portimonense,1,0,H,1.9,3.43,4.21
2022/2023,Primeira Liga,12/02/2023,15:30,Famalicao,Gil Vicente,0,1,A,2.09,3.39,3.56
2022/2023,Primeira Liga,12/02/2023,18:00,Sp Lisbon,Porto,1,2,A,2.57,3.12,2.88
2022/2023,Primeira Liga,12/02/2023,20:30,Maritimo,Sp Braga,1,2,A,4.2,3.61,1.85
2022/2023,Primeira Liga,13/02/2023,19:00,Rio Ave,Estoril,2,0,H,2.53,2.97,3.09
2022/2023,Primeira Liga,13/02/2023,21:15,Boavista,Casa Pia,0,0,D,2.25,3,3.6
2022/2023,Primeira Liga,17/02/2023,20:15,Gil Vicente,Vizela,1,1,D,2.41,3.38,2.9
2022/2023,Primeira Liga,18/02/2023,18:00,Estoril,Pacos Ferreira,1,3,A,2.05,3.27,3.85
2022/2023,Primeira Liga,18/02/2023,18:00,Portimonense,Maritimo,2,1,H,2.43,3.16,3.06
2022/2023,Primeira Liga,18/02/2023,20:30,Porto,Rio Ave,1,0,H,1.2,6.63,14.45
2022/2023,Primeira Liga,19/02/2023,15:30,Santa Clara,Famalicao,1,3,A,3.19,2.99,2.45
2022/2023,Primeira Liga,19/02/2023,18:00,Sp Braga,Arouca,2,0,H,1.43,4.54,7.35
2022/2023,Primeira Liga,19/02/2023,20:30,Casa Pia,Guimaraes,0,0,D,2.48,2.98,3.15
2022/2023,Primeira Liga,20/02/2023,19:00,Chaves,Sp Lisbon,2,3,A,8.73,5.02,1.35
2022/2023,Primeira Liga,20/02/2023,21:15,Benfica,Boavista,3,1,H,1.15,8.09,18.04
2022/2023,Primeira Liga,24/02/2023,20:15,Famalicao,Portimonense,1,0,H,1.82,3.41,4.53
2022/2023,Primeira Liga,25/02/2023,15:30,Arouca,Casa Pia,2,0,H,2.39,3.01,3.27
2022/2023,Primeira Liga,25/02/2023,18:00,Maritimo,Santa Clara,3,1,H,2.22,3.02,3.64
2022/2023,Primeira Liga,25/02/2023,20:30,Vizela,Benfica,0,2,A,7.94,4.82,1.38
2022/2023,Primeira Liga,26/02/2023,15:30,Rio Ave,Chaves,1,0,H,2.03,3.31,3.85
2022/2023,Primeira Liga,26/02/2023,18:00,Pacos Ferreira,Boavista,1,3,A,2.61,3.09,2.86
2022/2023,Primeira Liga,26/02/2023,20:30,Porto,Gil Vicente,1,2,A,1.17,7.37,15.13
2022/2023,Primeira Liga,27/02/2023,19:00,Sp Lisbon,Estoril,2,0,H,1.19,6.92,14.99
2022/2023,Primeira Liga,27/02/2023,21:15,Guimaraes,Sp Braga,2,1,H,4.02,3.42,1.95
2022/2023,Primeira Liga,03/03/2023,19:00,Boavista,Arouca,0,0,D,2.27,3.1,3.41
2022/2023,Primeira Liga,03/03/2023,21:15,Benfica,Famalicao,2,0,H,1.18,7.08,15.44
2022/2023,Primeira Liga,04/03/2023,15:30,Estoril,Vizela,0,3,A,2.66,3.19,2.7
2022/2023,Primeira Liga,04/03/2023,18:00,Portimonense,Sp Lisbon,0,1,A,9.06,4.83,1.35
2022/2023,Primeira Liga,04/03/2023,20:30,Chaves,Porto,1,3,A,8.71,4.77,1.37
2022/2023,Primeira Liga,05/03/2023,15:30,Gil Vicente,Maritimo,2,0,H,1.87,3.53,4.2
2022/2023,Primeira Liga,05/03/2023,18:00,Santa Clara,Guimaraes,1,3,A,2.81,2.99,2.72
2022/2023,Primeira Liga,05/03/2023,20:30,Sp Braga,Rio Ave,2,0,H,1.53,4,6.48
2022/2023,Primeira Liga,06/03/2023,20:15,Casa Pia,Pacos Ferreira,2,1,H,1.95,3.18,4.37
2022/2023,Primeira Liga,10/03/2023,20:15,Porto,Estoril,3,2,H,1.23,6.12,12.86
2022/2023,Primeira Liga,11/03/2023,15:30,Chaves,Portimonense,2,0,H,2.34,3.25,3.12
2022/2023,Primeira Liga,11/03/2023,15:30,Pacos Ferreira,Santa Clara,1,0,H,2.06,3.25,3.78
2022/2023,Primeira Liga,11/03/2023,18:00,Guimaraes,Arouca,0,2,A,2.07,3.18,3.84
2022/2023,Primeira Liga,11/03/2023,20:30,Vizela,Sp Braga,0,4,A,3.83,3.53,1.94
2022/2023,Primeira Liga,12/03/2023,15:30,Rio Ave,Gil Vicente,2,1,H,2.43,3.14,3.08
2022/2023,Primeira Liga,12/03/2023,18:00,Maritimo,Benfica,0,3,A,10.83,5.72,1.27
2022/2023,Primeira Liga,12/03/2023,20:30,Sp Lisbon,Boavista,3,0,H,1.25,5.84,11.71
2022/2023,Primeira Liga,13/03/2023,20:15,Famalicao,Casa Pia,1,0,H,2.15,3.02,3.82
