Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,LaLiga,19/10/2022,20:00,Elche,Real Madrid,0,3,A,10.99,6.27,1.26
2022/2023,LaLiga,20/10/2022,18:00,Almeria,Girona,3,2,H,2.69,3.33,2.7
2022/2023,LaLiga,20/10/2022,19:00,Osasuna,Espanol,1,0,H,2.23,3.25,3.5
2022/2023,LaLiga,20/10/2022,20:00,Barcelona,Villarreal,3,0,H,1.47,4.81,6.42
2022/2023,LaLiga,22/10/2022,13:00,Vallecano,Cadiz,5,1,H,1.73,3.53,5.47
2022/2023,LaLiga,22/10/2022,15:15,Valladolid,Sociedad,1,0,H,4.1,3.45,1.96
2022/2023,LaLiga,22/10/2022,17:30,Valencia,Mallorca,1,2,A,1.77,3.55,5.11
2022/2023,LaLiga,22/10/2022,20:00,Real Madrid,Sevilla,3,1,H,1.38,5,8.35
2022/2023,LaLiga,23/10/2022,13:00,Espanol,Elche,2,2,D,1.64,3.87,5.8
2022/2023,LaLiga,23/10/2022,15:15,Betis,Ath Madrid,1,2,A,3.2,3.13,2.42
2022/2023,LaLiga,23/10/2022,17:30,Girona,Osasuna,1,1,D,2.48,3.2,3.06
2022/2023,LaLiga,23/10/2022,17:30,Villarreal,Almeria,2,1,H,1.38,5.09,8.26
2022/2023,LaLiga,23/10/2022,20:00,Barcelona,Ath Bilbao,4,0,H,1.44,4.9,7.05
2022/2023,LaLiga,24/10/2022,20:00,Celta,Getafe,1,1,D,1.69,3.55,5.92
2022/2023,LaLiga,28/10/2022,20:00,Mallorca,Espanol,1,1,D,2.41,3.02,3.36
2022/2023,LaLiga,29/10/2022,13:00,Almeria,Celta,3,1,H,3.09,3.41,2.35
2022/2023,LaLiga,29/10/2022,15:15,Cadiz,Ath Madrid,3,2,H,6.29,3.68,1.63
2022/2023,LaLiga,29/10/2022,17:30,Sevilla,Vallecano,0,1,A,2.04,3.36,3.93
2022/2023,LaLiga,29/10/2022,20:00,Valencia,Barcelona,0,1,A,5.71,4.55,1.55
2022/2023,LaLiga,30/10/2022,13:00,Osasuna,Valladolid,2,0,H,1.85,3.6,4.46
2022/2023,LaLiga,30/10/2022,15:15,Real Madrid,Girona,1,1,D,1.26,6.27,11.25
2022/2023,LaLiga,30/10/2022,17:30,Ath Bilbao,Villarreal,1,0,H,2.12,3.46,3.56
2022/2023,LaLiga,30/10/2022,20:00,Sociedad,Betis,0,2,A,2.06,3.3,3.95
2022/2023,LaLiga,31/10/2022,20:00,Elche,Getafe,0,1,A,2.72,2.92,3.01
2022/2023,LaLiga,04/11/2022,20:00,Girona,Ath Bilbao,2,1,H,3.68,3.48,2.06
2022/2023,LaLiga,05/11/2022,13:00,Getafe,Cadiz,0,0,D,2.15,2.98,4.1
2022/2023,LaLiga,05/11/2022,15:15,Valladolid,Elche,2,1,H,1.9,3.61,4.16
2022/2023,LaLiga,05/11/2022,17:30,Celta,Osasuna,1,2,A,2.25,3.24,3.42
2022/2023,LaLiga,05/11/2022,20:00,Barcelona,Almeria,2,0,H,1.11,10.05,21.53
2022/2023,LaLiga,06/11/2022,13:00,Ath Madrid,Espanol,1,1,D,1.52,4.26,6.56
2022/2023,LaLiga,06/11/2022,15:15,Sociedad,Valencia,1,1,D,1.95,3.36,4.34
2022/2023,LaLiga,06/11/2022,17:30,Villarreal,Mallorca,0,2,A,1.76,3.55,5.2
2022/2023,LaLiga,06/11/2022,20:00,Betis,Sevilla,1,1,D,2.09,3.28,3.84
2022/2023,LaLiga,07/11/2022,20:00,Vallecano,Real Madrid,3,2,H,4.87,3.83,1.74
2022/2023,LaLiga,08/11/2022,18:00,Elche,Girona,1,2,A,3.56,3.33,2.17
2022/2023,LaLiga,08/11/2022,19:00,Ath Bilbao,Valladolid,3,0,H,1.43,4.7,7.47
2022/2023,LaLiga,08/11/2022,20:30,Osasuna,Barcelona,1,2,A,5.96,4.31,1.55
2022/2023,LaLiga,09/11/2022,18:00,Almeria,Getafe,1,0,H,2.06,3.17,4.14
2022/2023,LaLiga,09/11/2022,18:00,Sevilla,Sociedad,1,2,A,2.5,3.24,3
2022/2023,LaLiga,09/11/2022,19:00,Espanol,Villarreal,0,1,A,2.76,3.38,2.59
2022/2023,LaLiga,09/11/2022,20:30,Mallorca,Ath Madrid,1,0,H,3.87,2.96,2.23
2022/2023,LaLiga,10/11/2022,18:00,Vallecano,Celta,0,0,D,2.08,3.14,4.09
2022/2023,LaLiga,10/11/2022,19:00,Valencia,Betis,3,0,H,2.18,3.31,3.53
2022/2023,LaLiga,10/11/2022,20:30,Real Madrid,Cadiz,2,1,H,1.21,6.92,13.7
2022/2023,LaLiga,29/12/2022,16:00,Girona,Vallecano,2,2,D,2.09,3.45,3.62
2022/2023,LaLiga,29/12/2022,18:15,Betis,Ath Bilbao,0,0,D,3.01,3.31,2.45
2022/2023,LaLiga,29/12/2022,20:30,Ath Madrid,Elche,2,0,H,1.26,5.93,12.15
2022/2023,LaLiga,30/12/2022,16:00,Getafe,Mallorca,2,0,H,2.86,2.68,3.12
2022/2023,LaLiga,30/12/2022,18:15,Cadiz,Almeria,1,1,D,2.18,3.27,3.55
2022/2023,LaLiga,30/12/2022,18:15,Celta,Sevilla,1,1,D,2.26,3.17,3.48
2022/2023,LaLiga,30/12/2022,20:30,Valladolid,Real Madrid,0,2,A,6.82,4.8,1.45
2022/2023,LaLiga,31/12/2022,13:00,Barcelona,Espanol,1,1,D,1.21,7.01,14.22
2022/2023,LaLiga,31/12/2022,15:15,Sociedad,Osasuna,2,0,H,1.92,3.33,4.5
2022/2023,LaLiga,31/12/2022,15:15,Villarreal,Valencia,2,1,H,2.06,3.43,3.76
2022/2023,LaLiga,06/01/2023,17:30,Elche,Celta,0,1,A,3.97,3.23,2.07
2022/2023,LaLiga,06/01/2023,20:00,Valencia,Cadiz,0,1,A,1.56,4.15,6.21
2022/2023,LaLiga,07/01/2023,15:15,Villarreal,Real Madrid,2,1,H,3.48,3.67,2.08
2022/2023,LaLiga,07/01/2023,17:30,Mallorca,Valladolid,1,0,H,2.04,3.14,4.22
2022/2023,LaLiga,07/01/2023,20:00,Espanol,Girona,2,2,D,2.59,3.23,2.87
2022/2023,LaLiga,08/01/2023,13:00,Almeria,Sociedad,0,2,A,4.31,3.38,1.94
2022/2023,LaLiga,08/01/2023,15:15,Vallecano,Betis,1,2,A,2.44,3.18,3.12
2022/2023,LaLiga,08/01/2023,17:30,Sevilla,Getafe,2,1,H,1.84,3.27,5.16
2022/2023,LaLiga,08/01/2023,20:00,Ath Madrid,Barcelona,0,1,A,3.18,3.21,2.41
2022/2023,LaLiga,09/01/2023,20:00,Ath Bilbao,Osasuna,0,0,D,1.59,3.87,6.45
2022/2023,LaLiga,13/01/2023,20:00,Celta,Villarreal,1,1,D,2.87,3.23,2.61
2022/2023,LaLiga,14/01/2023,13:00,Valladolid,Vallecano,0,1,A,2.83,3.13,2.7
2022/2023,LaLiga,14/01/2023,15:15,Girona,Sevilla,2,1,H,2.4,3.21,3.16
2022/2023,LaLiga,14/01/2023,17:30,Osasuna,Mallorca,1,0,H,2.18,2.97,4
2022/2023,LaLiga,14/01/2023,20:00,Sociedad,Ath Bilbao,3,1,H,2.34,3,3.59
2022/2023,LaLiga,15/01/2023,13:00,Getafe,Espanol,1,2,A,2.42,2.89,3.5
2022/2023,LaLiga,15/01/2023,15:15,Almeria,Ath Madrid,1,1,D,4.9,3.74,1.74
2022/2023,LaLiga,16/01/2023,20:00,Cadiz,Elche,1,1,D,1.93,3.33,4.45
2022/2023,LaLiga,20/01/2023,20:00,Mallorca,Celta,1,0,H,2.79,2.76,3.07
2022/2023,LaLiga,21/01/2023,13:00,Vallecano,Sociedad,0,2,A,2.97,3.04,2.65
2022/2023,LaLiga,21/01/2023,15:15,Espanol,Betis,1,0,H,2.77,3.03,2.84
2022/2023,LaLiga,21/01/2023,17:30,Ath Madrid,Valladolid,3,0,H,1.33,5.15,9.89
2022/2023,LaLiga,21/01/2023,20:00,Sevilla,Cadiz,1,0,H,1.77,3.56,5.02
2022/2023,LaLiga,22/01/2023,13:00,Villarreal,Girona,1,0,H,1.74,3.97,4.56
2022/2023,LaLiga,22/01/2023,15:15,Elche,Osasuna,1,1,D,3.05,3.1,2.54
2022/2023,LaLiga,22/01/2023,17:30,Barcelona,Getafe,1,0,H,1.24,6.06,14.07
2022/2023,LaLiga,22/01/2023,20:00,Ath Bilbao,Real Madrid,0,2,A,2.94,3.37,2.46
2022/2023,LaLiga,23/01/2023,20:00,Valencia,Almeria,2,2,D,1.61,4.11,5.62
2022/2023,LaLiga,27/01/2023,20:00,Almeria,Espanol,3,1,H,2.46,3.15,3.15
2022/2023,LaLiga,28/01/2023,13:00,Cadiz,Mallorca,2,0,H,2.88,2.71,3.07
2022/2023,LaLiga,28/01/2023,15:15,Girona,Barcelona,0,1,A,5.61,4.31,1.57
2022/2023,LaLiga,28/01/2023,17:30,Sevilla,Elche,3,0,H,1.52,4.09,7.11
2022/2023,LaLiga,28/01/2023,20:00,Getafe,Betis,0,1,A,3.08,2.82,2.74
